"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Arizona","Mohave",2025,271,253,16,0,1,0,1,331,44,19,0,0,0,28,243
"Arizona","Navajo",2025,273,272,1,0,0,0,0,53,24,12,0,0,0,8,265
"Arizona","Pima",2025,273,101,165,2,3,1,1,357,84,55,0,0,88,58,127
"Arizona","Pinal",2025,268,66,178,20,0,0,4,1215,100,66,0,0,161,14,93
"Arizona","Santa Cruz",2025,272,173,97,1,1,0,0,187,64,45,0,0,0,225,47
"Arizona","Yavapai",2025,269,158,111,0,0,0,0,97,74,49,0,0,268,1,0
"Arizona","Yuma",2025,273,146,120,6,0,1,0,211,73,49,0,0,161,44,68
"Arkansas","Arkansas",2025,91,47,44,0,0,0,0,77,59,49,0,0,0,91,0
"Arkansas","Ashley",2025,91,49,42,0,0,0,0,68,58,49,0,0,0,91,0
"Arkansas","Clark",2025,241,235,6,0,0,0,0,74,46,35,0,0,241,0,0
"Arkansas","Crittenden",2025,273,218,54,1,0,0,0,112,58,41,0,0,219,54,0
"Arkansas","Garland",2025,91,48,43,0,0,0,0,92,61,49,0,0,0,91,0
"Arkansas","Jackson",2025,91,60,31,0,0,0,0,79,59,44,0,0,0,91,0
"Arkansas","Newton",2025,273,254,19,0,0,0,0,77,49,38,0,0,272,1,0
"Arkansas","Polk",2025,271,220,50,1,0,0,0,119,58,40,0,0,213,58,0
"Arkansas","Pulaski",2025,274,90,178,4,1,1,0,239,69,54,1,1,71,201,0
"Arkansas","Union",2025,91,40,51,0,0,0,0,70,62,52,0,0,0,91,0
"Arkansas","Washington",2025,273,227,46,0,0,0,0,74,54,41,0,0,223,50,0
"California","Amador",2025,211,179,32,0,0,0,0,97,58,40,0,0,211,0,0
"California","Butte",2025,245,162,83,0,0,0,0,96,59,47,0,0,139,106,0
"California","Calaveras",2025,207,153,54,0,0,0,0,100,62,43,0,0,162,44,1
"California","Colusa",2025,265,225,40,0,0,0,0,96,54,39,0,0,149,109,7
"California","Del Norte",2025,179,145,34,0,0,0,0,70,54,33,0,0,0,179,0
"California","El Dorado",2025,212,182,29,1,0,0,0,115,58,39,0,0,211,0,1
"California","Fresno",2025,304,122,157,24,1,0,0,157,100,54,0,0,214,84,6
"California","Glenn",2025,212,170,42,0,0,0,0,94,54,40,0,0,154,51,7
"California","Humboldt",2025,303,252,51,0,0,0,0,75,54,36,0,0,87,206,10
"California","Imperial",2025,219,60,132,21,6,0,0,190,108,64,0,0,121,46,52
"California","Inyo",2025,273,111,151,8,3,0,0,163,84,54,0,0,150,111,12
"California","Kern",2025,273,65,183,25,0,0,0,143,100,61,0,0,150,117,6
"California","Kings",2025,181,72,106,3,0,0,0,105,85,53,0,0,90,88,3
"California","Lake",2025,34,34,0,0,0,0,0,32,29,17,0,0,0,30,4
"California","Los Angeles",2025,274,30,155,59,29,1,0,201,151,77,1,3,172,87,11
"California","Madera",2025,120,83,37,0,0,0,0,91,66,43,0,0,64,56,0
"California","Marin",2025,20,20,0,0,0,0,0,32,29,21,0,0,0,20,0
"California","Mariposa",2025,250,204,46,0,0,0,0,90,61,45,0,0,249,1,0
"California","Merced",2025,90,58,32,0,0,0,0,78,68,43,0,0,43,47,0
"California","Mono",2025,181,168,12,1,0,0,0,104,44,22,0,0,0,94,87
"California","Monterey",2025,182,140,42,0,0,0,0,62,55,40,1,0,90,84,7
"California","Nevada",2025,181,144,37,0,0,0,0,84,61,44,0,0,161,20,0
"California","Orange",2025,274,122,143,8,1,0,0,159,77,52,1,8,114,149,2
"California","Placer",2025,243,118,123,2,0,0,0,143,74,51,0,0,170,73,0
"California","Plumas",2025,195,103,88,4,0,0,0,111,82,46,0,0,0,195,0
"California","Riverside",2025,274,29,143,69,32,0,1,365,154,87,1,0,184,56,33
"California","Sacramento",2025,224,132,89,3,0,0,0,122,71,48,1,0,129,94,0
"California","San Benito",2025,223,202,21,0,0,0,0,71,50,41,0,0,197,26,0
"California","San Bernardino",2025,274,34,137,61,38,4,0,207,164,90,1,1,201,62,9
"California","San Diego",2025,272,116,136,15,5,0,0,161,93,54,0,0,178,94,0
"California","San Joaquin",2025,182,120,62,0,0,0,0,93,67,44,0,0,77,105,0
"California","San Luis Obispo",2025,273,120,146,7,0,0,0,119,69,51,0,0,143,130,0
"California","Santa Barbara",2025,181,54,126,0,1,0,0,186,63,54,0,0,21,156,4
"California","Santa Cruz",2025,181,148,33,0,0,0,0,71,57,37,0,0,98,83,0
"California","Shasta",2025,232,197,35,0,0,0,0,100,54,44,0,0,203,21,8
"California","Siskiyou",2025,15,15,0,0,0,0,0,10,9,6,0,0,0,15,0
"California","Solano",2025,268,265,3,0,0,0,0,61,42,34,0,0,268,0,0
"California","Sonoma",2025,273,273,0,0,0,0,0,39,18,9,0,0,0,0,273
"California","Stanislaus",2025,249,170,78,1,0,0,0,101,71,45,1,0,182,64,2
"California","Sutter",2025,212,130,82,0,0,0,0,100,67,48,0,0,126,86,0
"California","Tehama",2025,212,171,41,0,0,0,0,90,54,36,0,0,97,109,6
"California","Trinity",2025,152,104,48,0,0,0,0,83,66,33,0,0,0,152,0
"California","Tulare",2025,232,69,133,30,0,0,0,140,105,59,0,0,138,93,1
"California","Tuolumne",2025,210,175,35,0,0,0,0,87,58,40,0,0,210,0,0
"California","Ventura",2025,273,144,121,8,0,0,0,131,71,50,0,0,160,107,6
"California","Yolo",2025,273,165,108,0,0,0,0,100,62,47,0,0,132,141,0
"Colorado","Adams",2025,273,137,135,1,0,0,0,112,74,50,0,18,163,70,22
"Colorado","Alamosa",2025,273,248,25,0,0,0,0,76,49,24,0,0,0,230,43
"Colorado","Arapahoe",2025,273,129,142,2,0,0,0,101,71,51,0,0,240,33,0
"Colorado","Archuleta",2025,303,241,60,2,0,0,0,115,64,32,0,0,237,58,8
"Colorado","Boulder",2025,273,139,131,3,0,0,0,119,76,50,0,0,202,70,1
"Colorado","Clear Creek",2025,267,172,95,0,0,0,0,100,67,48,0,0,267,0,0
"Colorado","Delta",2025,117,103,13,1,0,0,0,103,55,28,0,0,0,97,20
"Colorado","Denver",2025,274,121,147,6,0,0,0,115,77,54,1,30,161,82,0
"Colorado","Douglas",2025,273,158,108,7,0,0,0,122,74,49,0,0,237,36,0
"Colorado","El Paso",2025,273,159,114,0,0,0,0,97,71,49,0,0,254,19,0
"Colorado","Fremont",2025,270,246,24,0,0,0,0,77,49,25,0,0,0,206,64
"Colorado","Garfield",2025,268,205,63,0,0,0,0,93,64,44,0,0,267,1,0
"Colorado","Gilpin",2025,270,185,84,1,0,0,0,101,71,48,0,0,270,0,0
"Colorado","Gunnison",2025,242,145,96,1,0,0,0,115,71,49,0,0,242,0,0
"Colorado","Jackson",2025,17,17,0,0,0,0,0,8,8,3,0,0,0,17,0
"Colorado","Jefferson",2025,273,127,133,13,0,0,0,119,90,51,0,0,273,0,0
"Colorado","La Plata",2025,304,162,140,2,0,0,0,112,77,50,0,0,294,10,0
"Colorado","Larimer",2025,274,110,153,11,0,0,0,119,87,54,1,0,236,37,0
"Colorado","Mesa",2025,273,184,89,0,0,0,0,90,64,47,0,0,224,49,0
"Colorado","Montezuma",2025,273,199,73,1,0,0,0,101,64,46,0,0,273,0,0
"Colorado","Pitkin",2025,273,250,22,0,1,0,0,154,45,21,0,0,0,234,39
"Colorado","Prowers",2025,211,193,16,0,0,1,1,652,46,24,0,0,0,176,35
"Colorado","Pueblo",2025,273,179,93,1,0,0,0,101,67,48,0,0,228,44,1
"Colorado","Routt",2025,273,250,23,0,0,0,0,87,48,23,0,0,0,255,18
"Colorado","San Juan",2025,20,20,0,0,0,0,0,13,9,4,0,0,0,20,0
"Colorado","San Miguel",2025,273,254,19,0,0,0,0,94,44,21,0,0,0,216,57
"Colorado","Weld",2025,274,117,151,6,0,0,0,119,84,52,1,1,194,78,0
"Connecticut","Fairfield",2025,181,121,51,8,1,0,0,166,69,44,0,12,98,71,0
"Connecticut","Hartford",2025,181,121,56,3,1,0,0,164,68,44,0,4,120,57,0
"Connecticut","Litchfield",2025,181,148,29,3,1,0,0,161,64,41,0,0,147,34,0
"Connecticut","Middlesex",2025,122,95,25,1,1,0,0,151,77,42,0,0,122,0,0
"Connecticut","New Haven",2025,181,124,52,4,1,0,0,151,67,44,0,5,123,53,0
"Connecticut","New London",2025,181,143,34,4,0,0,0,136,59,40,0,0,101,80,0
"Connecticut","Tolland",2025,119,95,21,3,0,0,0,136,64,42,0,0,119,0,0
"Connecticut","Windham",2025,241,219,21,1,0,0,0,108,50,37,0,0,241,0,0
"Country Of Mexico","SONORA",2025,273,117,150,4,2,0,0,191,80,52,0,0,129,64,80
"Delaware","Kent",2025,181,127,51,3,0,0,0,122,64,44,0,0,118,63,0
"Delaware","New Castle",2025,182,110,68,3,1,0,0,161,69,46,1,0,106,75,0
"Delaware","Sussex",2025,181,144,36,1,0,0,0,105,58,43,0,0,135,46,0
"District Of Columbia","District of Columbia",2025,182,124,57,1,0,0,0,101,63,45,1,4,98,79,0
"Florida","Alachua",2025,272,245,27,0,0,0,0,69,50,37,0,0,127,145,0
"Florida","Baker",2025,272,188,84,0,0,0,0,75,56,45,0,0,49,223,0
"Florida","Bay",2025,269,163,106,0,0,0,0,92,58,46,0,0,65,204,0
"Florida","Brevard",2025,273,245,28,0,0,0,0,80,51,37,0,0,228,45,0
"Florida","Broward",2025,239,173,66,0,0,0,0,93,58,43,0,60,70,109,0
"Florida","Citrus",2025,270,183,86,1,0,0,0,125,55,44,0,0,0,270,0
"Florida","Collier",2025,273,184,89,0,0,0,0,71,58,43,0,0,87,186,0
"Florida","Columbia",2025,273,154,119,0,0,0,0,80,59,48,0,0,43,230,0
"Florida","Duval",2025,182,74,104,4,0,0,0,136,64,52,1,2,45,134,0
"Florida","Escambia",2025,273,190,82,1,0,0,0,104,58,44,0,0,126,147,0
"Florida","Flagler",2025,272,265,7,0,0,0,0,77,46,34,0,0,272,0,0
"Florida","Hamilton",2025,260,141,119,0,0,0,0,72,58,49,0,0,0,260,0
"Florida","Highlands",2025,265,247,18,0,0,0,0,80,49,34,0,0,265,0,0
"Florida","Hillsborough",2025,274,135,137,2,0,0,0,122,64,51,1,1,95,174,3
"Florida","Holmes",2025,273,160,113,0,0,0,0,79,58,48,0,0,47,226,0
"Florida","Indian River",2025,199,184,15,0,0,0,0,77,49,36,0,0,199,0,0
"Florida","Lake",2025,268,250,17,1,0,0,0,112,49,35,0,0,268,0,0
"Florida","Lee",2025,273,203,70,0,0,0,0,97,58,42,0,0,146,127,0
"Florida","Leon",2025,181,95,85,1,0,0,0,140,61,50,0,0,32,149,0
"Florida","Liberty",2025,219,214,5,0,0,0,0,77,45,32,0,0,219,0,0
"Florida","Manatee",2025,181,155,26,0,0,0,0,97,54,38,0,0,181,0,0
"Florida","Marion",2025,272,183,88,1,0,0,0,101,57,46,0,0,95,177,0
"Florida","Martin",2025,273,208,65,0,0,0,0,74,57,41,0,0,111,162,0
"Florida","Miami-Dade",2025,274,140,134,0,0,0,0,97,61,49,1,12,46,215,0
"Florida","Okaloosa",2025,273,253,20,0,0,0,0,84,49,37,0,0,252,0,21
"Florida","Orange",2025,274,196,77,1,0,0,0,105,61,44,1,3,142,128,0
"Florida","Osceola",2025,273,225,47,1,0,0,0,105,54,41,0,0,155,118,0
"Florida","Palm Beach",2025,273,196,77,0,0,0,0,87,58,42,0,0,91,182,0
"Florida","Pasco",2025,273,250,22,1,0,0,0,115,49,37,0,0,273,0,0
"Florida","Pinellas",2025,274,190,83,1,0,0,0,129,58,44,1,0,128,145,0
"Florida","Polk",2025,268,253,15,0,0,0,0,100,47,34,0,0,268,0,0
"Florida","Putnam",2025,273,262,11,0,0,0,0,69,42,21,0,0,0,0,273
"Florida","Santa Rosa",2025,273,182,91,0,0,0,0,80,58,45,0,0,116,157,0
"Florida","Sarasota",2025,273,163,110,0,0,0,0,84,60,47,0,0,90,183,0
"Florida","Seminole",2025,272,227,45,0,0,0,0,97,54,40,0,0,187,85,0
"Florida","St. Lucie",2025,272,259,13,0,0,0,0,67,47,32,0,0,272,0,0
"Florida","Volusia",2025,273,214,59,0,0,0,0,90,55,42,0,0,142,131,0
"Florida","Wakulla",2025,182,134,48,0,0,0,0,80,54,43,6,0,72,104,0
"Georgia","Bibb",2025,271,134,136,1,0,0,0,119,64,51,0,0,39,232,0
"Georgia","Charlton",2025,19,15,4,0,0,0,0,61,55,24,0,0,0,19,0
"Georgia","Chatham",2025,273,182,91,0,0,0,0,90,59,44,0,0,77,196,0
"Georgia","Clarke",2025,273,182,91,0,0,0,0,89,60,44,0,0,106,167,0
"Georgia","Clayton",2025,81,43,38,0,0,0,0,74,59,49,0,0,0,81,0
"Georgia","Cobb",2025,214,198,16,0,0,0,0,74,47,36,0,0,208,6,0
"Georgia","Coffee",2025,243,168,75,0,0,0,0,78,61,44,0,0,0,243,0
"Georgia","Dawson",2025,213,201,12,0,0,0,0,97,46,35,0,0,213,0,0
"Georgia","DeKalb",2025,272,168,104,0,0,0,0,90,61,46,2,17,81,172,0
"Georgia","Dougherty",2025,243,135,107,1,0,0,0,115,67,46,0,0,0,243,0
"Georgia","Douglas",2025,98,80,18,0,0,0,0,97,64,40,0,0,98,0,0
"Georgia","Floyd",2025,236,170,66,0,0,0,0,78,58,38,0,0,0,236,0
"Georgia","Fulton",2025,274,153,117,4,0,0,0,129,64,49,1,12,109,152,0
"Georgia","Glynn",2025,287,235,52,0,0,0,0,94,54,39,0,0,142,145,0
"Georgia","Gwinnett",2025,273,176,97,0,0,0,0,84,61,45,0,0,119,154,0
"Georgia","Hall",2025,242,133,109,0,0,0,0,82,62,46,0,0,0,242,0
"Georgia","Henry",2025,269,201,68,0,0,0,0,74,58,41,0,0,127,142,0
"Georgia","Houston",2025,242,149,93,0,0,0,0,93,60,44,0,0,0,242,0
"Georgia","Lowndes",2025,243,126,117,0,0,0,0,88,63,49,0,0,0,243,0
"Georgia","Murray",2025,226,205,20,1,0,0,0,112,50,39,0,0,211,15,0
"Georgia","Muscogee",2025,272,162,105,3,2,0,0,166,65,46,0,0,66,206,0
"Georgia","Pike",2025,237,209,28,0,0,0,0,93,51,39,0,0,237,0,0
"Georgia","Richmond",2025,273,144,128,1,0,0,0,130,67,49,0,0,60,213,0
"Georgia","Rockdale",2025,211,198,13,0,0,0,0,90,49,36,0,0,211,0,0
"Georgia","Walker",2025,243,134,106,1,2,0,0,181,65,46,0,0,0,243,0
"Georgia","Washington",2025,242,140,102,0,0,0,0,82,60,47,0,0,0,242,0
"Hawaii","Hawaii",2025,201,163,38,0,0,0,0,78,58,30,0,0,0,201,0
"Hawaii","Honolulu",2025,182,173,9,0,0,0,0,59,43,31,1,0,122,59,0
"Hawaii","Maui",2025,181,174,7,0,0,0,0,69,37,22,0,0,0,181,0
"Idaho","Ada",2025,252,203,49,0,0,0,0,97,60,39,0,0,135,44,73
"Idaho","Bannock",2025,304,278,25,1,0,0,0,111,47,31,0,0,84,57,163
"Idaho","Benewah",2025,181,135,46,0,0,0,0,92,62,37,0,0,0,181,0
"Idaho","Blaine",2025,166,165,1,0,0,0,0,56,33,22,0,0,0,166,0
"Idaho","Boise",2025,181,132,49,0,0,0,0,82,55,43,0,0,0,181,0
"Idaho","Bonner",2025,181,129,52,0,0,0,0,74,56,41,0,0,0,178,3
"Idaho","Bonneville",2025,175,166,9,0,0,0,0,68,38,19,0,0,0,175,0
"Idaho","Butte",2025,222,194,28,0,0,0,0,77,54,44,0,0,222,0,0
"Idaho","Canyon",2025,179,156,23,0,0,0,0,65,53,30,0,0,0,164,15
"Idaho","Custer",2025,20,20,0,0,0,0,0,13,9,3,0,0,0,20,0
"Idaho","Franklin",2025,167,160,7,0,0,0,0,82,40,22,0,0,0,167,0
"Idaho","Idaho",2025,243,194,49,0,0,0,0,84,56,39,0,0,155,88,0
"Idaho","Kootenai",2025,181,160,21,0,0,0,0,71,52,24,0,0,0,181,0
"Idaho","Latah",2025,155,154,1,0,0,0,0,52,40,24,0,0,0,155,0
"Idaho","Lemhi",2025,181,125,56,0,0,0,0,85,65,23,0,0,0,181,0
"Idaho","Nez Perce",2025,181,152,29,0,0,0,0,89,54,29,0,0,0,181,0
"Idaho","Shoshone",2025,210,138,71,1,0,0,0,111,66,37,0,0,0,209,1
"Idaho","Twin Falls",2025,181,176,4,1,0,0,0,105,38,24,0,0,0,181,0
"Idaho","Valley",2025,169,132,37,0,0,0,0,94,59,32,0,0,0,169,0
"Illinois","Adams",2025,213,201,12,0,0,0,0,71,49,38,0,0,213,0,0
"Illinois","Champaign",2025,273,174,96,3,0,0,0,138,64,44,0,0,153,120,0
"Illinois","Clark",2025,267,246,21,0,0,0,0,87,49,36,0,0,267,0,0
"Illinois","Cook",2025,274,111,139,19,5,0,0,168,94,53,1,23,97,145,8
"Illinois","DuPage",2025,273,167,100,5,1,0,0,158,76,44,0,0,105,168,0
"Illinois","Effingham",2025,211,202,9,0,0,0,0,71,46,35,0,0,211,0,0
"Illinois","Hamilton",2025,269,179,90,0,0,0,0,98,62,43,0,0,127,142,0
"Illinois","Jersey",2025,266,195,68,2,1,0,0,156,67,44,0,0,163,103,0
"Illinois","Jo Daviess",2025,228,215,13,0,0,0,0,87,47,35,0,0,228,0,0
"Illinois","Kane",2025,273,166,98,8,1,0,0,165,83,46,0,0,131,142,0
"Illinois","Lake",2025,200,167,30,3,0,0,0,108,67,40,0,0,200,0,0
"Illinois","Macon",2025,273,174,96,3,0,0,0,141,67,44,0,0,122,151,0
"Illinois","Macoupin",2025,272,247,24,1,0,0,0,105,49,37,0,63,209,0,0
"Illinois","Madison",2025,304,168,132,3,0,1,0,260,73,48,0,0,137,164,3
"Illinois","McHenry",2025,272,180,80,11,1,0,0,165,79,43,0,0,154,118,0
"Illinois","McLean",2025,273,175,94,3,1,0,0,154,69,44,0,0,136,137,0
"Illinois","Peoria",2025,270,156,110,2,2,0,0,154,67,47,0,0,107,163,0
"Illinois","Randolph",2025,272,182,89,0,1,0,0,161,62,44,0,0,118,154,0
"Illinois","Rock Island",2025,273,184,87,0,2,0,0,167,64,41,0,0,110,163,0
"Illinois","Saint Clair",2025,298,192,103,2,1,0,0,161,63,44,0,6,98,194,0
"Illinois","Sangamon",2025,273,193,77,3,0,0,0,142,61,42,0,0,131,142,0
"Illinois","Will",2025,273,162,106,4,1,0,0,156,74,45,0,0,105,168,0
"Illinois","Winnebago",2025,263,178,79,5,1,0,0,169,71,41,0,0,123,140,0
"Indiana","Allen",2025,273,159,111,3,0,0,0,115,69,45,0,0,139,134,0
"Indiana","Bartholomew",2025,273,189,84,0,0,0,0,97,62,44,0,0,155,118,0
"Indiana","Boone",2025,260,226,31,3,0,0,0,112,54,38,0,0,260,0,0
"Indiana","Brown",2025,272,257,15,0,0,0,0,77,47,37,0,0,272,0,0
"Indiana","Carroll",2025,255,224,30,1,0,0,0,105,54,37,0,0,255,0,0
"Indiana","Clark",2025,273,163,107,3,0,0,0,133,60,46,0,0,104,169,0
"Indiana","Delaware",2025,273,173,98,2,0,0,0,108,65,44,0,0,142,131,0
"Indiana","Dubois",2025,271,182,89,0,0,0,0,88,58,39,0,0,0,271,0
"Indiana","Elkhart",2025,272,166,102,4,0,0,0,132,65,44,0,0,126,146,0
"Indiana","Floyd",2025,299,191,103,5,0,0,0,126,61,46,0,0,143,156,0
"Indiana","Greene",2025,299,224,75,0,0,0,0,90,60,41,0,0,157,142,0
"Indiana","Hamilton",2025,272,159,108,5,0,0,0,118,64,47,0,0,124,148,0
"Indiana","Hendricks",2025,272,245,27,0,0,0,0,90,50,38,0,0,272,0,0
"Indiana","Henry",2025,253,174,79,0,0,0,0,95,60,38,0,0,0,253,0
"Indiana","Howard",2025,270,166,101,3,0,0,0,122,64,46,0,0,142,128,0
"Indiana","Knox",2025,231,215,16,0,0,0,0,93,49,38,0,0,231,0,0
"Indiana","LaPorte",2025,273,170,91,11,1,0,0,153,74,44,0,0,153,120,0
"Indiana","Lake",2025,273,106,152,11,3,1,0,219,85,53,0,0,68,200,5
"Indiana","Madison",2025,273,194,77,2,0,0,0,122,61,42,0,0,156,117,0
"Indiana","Marion",2025,305,132,169,2,2,0,0,170,69,53,1,0,63,240,1
"Indiana","Monroe",2025,273,196,77,0,0,0,0,84,59,36,0,0,0,273,0
"Indiana","Perry",2025,229,207,22,0,0,0,0,84,50,38,0,0,229,0,0
"Indiana","Porter",2025,303,189,103,11,0,0,0,136,74,44,0,0,150,145,8
"Indiana","Posey",2025,246,216,29,1,0,0,0,105,54,39,0,0,246,0,0
"Indiana","Shelby",2025,270,241,28,1,0,0,0,105,51,37,0,0,270,0,0
"Indiana","Spencer",2025,273,177,96,0,0,0,0,88,59,42,0,0,0,273,0
"Indiana","St. Joseph",2025,273,172,94,7,0,0,0,127,74,44,0,0,160,113,0
"Indiana","Tippecanoe",2025,259,183,76,0,0,0,0,95,58,39,0,0,0,259,0
"Indiana","Vanderburgh",2025,305,195,110,0,0,0,0,100,63,44,32,0,110,162,1
"Indiana","Vigo",2025,300,186,113,1,0,0,0,108,65,45,0,0,118,182,0
"Indiana","Wabash",2025,230,216,14,0,0,0,0,87,48,37,0,0,230,0,0
"Indiana","Warrick",2025,273,228,45,0,0,0,0,97,58,40,0,0,273,0,0
"Indiana","Whitley",2025,251,165,84,2,0,0,0,108,61,38,0,0,0,251,0
"Iowa","Black Hawk",2025,304,172,130,1,1,0,0,158,64,48,0,0,0,304,0
"Iowa","Bremer",2025,241,210,30,1,0,0,0,115,54,38,0,0,241,0,0
"Iowa","Clinton",2025,304,182,119,2,1,0,0,166,71,45,0,0,138,166,0
"Iowa","Harrison",2025,236,196,38,2,0,0,0,119,64,39,0,0,236,0,0
"Iowa","Johnson",2025,304,216,84,3,1,0,0,159,62,36,0,0,0,304,0
"Iowa","Linn",2025,304,186,113,4,1,0,0,163,70,44,0,0,118,186,0
"Iowa","Montgomery",2025,304,209,94,1,0,0,0,133,63,43,0,0,133,171,0
"Iowa","Muscatine",2025,304,208,94,2,0,0,0,141,58,41,0,0,0,304,0
"Iowa","Palo Alto",2025,304,211,84,9,0,0,0,134,74,42,0,0,149,155,0
"Iowa","Polk",2025,304,178,124,2,0,0,0,136,66,46,0,0,100,202,2
"Iowa","Pottawattamie",2025,90,64,26,0,0,0,0,87,58,41,0,0,0,90,0
"Iowa","Scott",2025,305,182,121,1,1,0,0,159,74,45,1,0,140,113,51
"Iowa","Van Buren",2025,303,184,117,2,0,0,0,129,61,46,0,0,93,210,0
"Iowa","Webster",2025,123,67,52,2,2,0,0,165,68,48,0,0,0,104,19
"Iowa","Woodbury",2025,265,214,48,3,0,0,0,122,61,39,0,0,213,52,0
"Kansas","Chase",2025,18,16,2,0,0,0,0,56,53,22,0,0,0,18,0
"Kansas","Douglas",2025,162,147,14,1,0,0,0,101,50,41,0,0,162,0,0
"Kansas","Ford",2025,180,161,18,1,0,0,0,115,52,26,0,0,0,145,35
"Kansas","Johnson",2025,181,130,50,0,1,0,0,188,60,43,0,0,103,76,2
"Kansas","Leavenworth",2025,180,169,11,0,0,0,0,97,49,36,0,0,180,0,0
"Kansas","Neosho",2025,181,133,46,1,0,0,1,315,58,43,0,0,104,72,5
"Kansas","Sedgwick",2025,181,106,74,0,1,0,0,192,64,48,0,0,88,89,4
"Kansas","Shawnee",2025,181,116,62,2,0,1,0,238,67,44,0,0,102,75,4
"Kansas","Sherman",2025,149,129,20,0,0,0,0,93,54,25,0,0,0,119,30
"Kansas","Sumner",2025,181,122,56,2,0,0,1,370,63,43,0,0,38,129,14
"Kansas","Trego",2025,180,139,41,0,0,0,0,91,62,41,0,0,127,45,8
"Kansas","Wyandotte",2025,168,106,59,2,0,1,0,240,67,44,0,6,83,73,6
"Kentucky","Bell",2025,181,115,65,1,0,0,0,101,62,43,0,0,65,116,0
"Kentucky","Boone",2025,122,116,6,0,0,0,0,74,49,38,0,0,122,0,0
"Kentucky","Boyd",2025,186,154,32,0,0,0,0,88,54,39,0,1,86,94,5
"Kentucky","Bullitt",2025,110,102,8,0,0,0,0,71,49,39,0,0,110,0,0
"Kentucky","Campbell",2025,191,150,41,0,0,0,0,77,55,39,0,1,81,109,0
"Kentucky","Carter",2025,186,167,19,0,0,0,0,82,51,36,0,0,91,90,5
"Kentucky","Christian",2025,180,141,39,0,0,0,0,75,55,41,0,0,74,106,0
"Kentucky","Daviess",2025,181,127,54,0,0,0,0,82,59,42,0,0,67,114,0
"Kentucky","Edmonson",2025,214,200,14,0,0,0,0,77,49,38,0,0,209,5,0
"Kentucky","Fayette",2025,186,140,46,0,0,0,0,76,56,40,0,3,78,99,6
"Kentucky","Greenup",2025,122,116,6,0,0,0,0,67,49,37,0,0,122,0,0
